date,store,item,month,sales
2/3/2017,store_1,whole milk,3,23
1/2/2017,store_1,whole milk,2,15
11/3/2015,store_1,whole milk,3,21
11/4/2015,store_1,whole milk,4,17
5/8/2016,store_1,whole milk,8,24
6/8/2016,store_1,whole milk,8,20
1/8/2017,store_1,whole milk,8,18
5/6/2016,store_1,whole milk,6,35
6/5/2016,store_1,whole milk,5,23
6/10/2016,store_1,whole milk,10,22
2/2/2017,store_1,whole milk,2,17
11/10/2015,store_1,whole milk,10,25
6/11/2016,store_1,whole milk,11,18
1/12/2017,store_1,whole milk,12,19
3/1/2017,store_1,whole milk,1,10
11/11/2015,store_1,whole milk,11,24
10/6/2015,store_1,whole milk,6,22
3/8/2017,store_1,whole milk,8,25
5/3/2016,store_1,whole milk,3,17
3/10/2017,store_1,whole milk,10,18
6/9/2016,store_1,whole milk,9,28
10/9/2015,store_1,citrus fruit,9,53
5/6/2016,store_1,citrus fruit,6,66
11/7/2015,store_1,citrus fruit,7,67
2/4/2017,store_1,citrus fruit,4,66
3/7/2017,store_1,citrus fruit,7,52
5/7/2016,store_1,citrus fruit,7,74
10/12/2015,store_1,citrus fruit,12,43
1/8/2017,store_1,citrus fruit,8,58
11/4/2015,store_1,citrus fruit,4,69
3/6/2017,store_1,citrus fruit,6,106
5/12/2016,store_1,citrus fruit,12,29
1/3/2017,store_1,citrus fruit,3,48
1/10/2017,store_1,citrus fruit,10,60
3/5/2017,store_1,citrus fruit,5,51
1/7/2017,store_1,butter,7,41
5/5/2016,store_1,butter,5,59
11/11/2015,store_1,butter,11,42
10/10/2015,store_1,butter,10,37
10/6/2015,store_1,butter,6,51
3/10/2017,store_1,butter,10,28
3/2/2017,store_1,butter,2,31
1/10/2017,store_1,butter,10,38
5/2/2016,store_1,butter,2,32
5/6/2016,store_1,butter,6,48
6/10/2016,store_1,butter,10,42
3/12/2017,store_1,butter,12,34
2/10/2017,store_1,butter,10,32
11/3/2015,store_1,butter,3,24
11/8/2015,store_1,butter,8,39
11/4/2015,store_1,butter,4,39
2/8/2017,store_1,butter,8,31
6/9/2016,store_1,butter,9,35
3/7/2017,store_1,butter,7,36
10/7/2015,store_1,butter,7,52
5/8/2016,store_1,butter,8,36
10/11/2015,store_1,butter,11,22
2/2/2017,store_1,butter,2,20
5/2/2016,store_1,cold drinks,2,10
11/12/2015,store_1,cold drinks,12,7
2/12/2017,store_1,cold drinks,12,16
1/4/2017,store_1,cold drinks,4,37
5/7/2016,store_1,cold drinks,7,27
10/11/2015,store_1,cold drinks,11,16
11/1/2015,store_1,cold drinks,1,13
6/4/2016,store_1,cold drinks,4,17
1/7/2017,store_1,cold drinks,7,37
3/6/2017,store_1,cold drinks,6,34
5/5/2016,store_1,cold drinks,5,31
5/12/2016,store_1,cold drinks,12,16
3/12/2017,store_1,cold drinks,12,15
10/6/2015,store_1,cold drinks,6,17
1/9/2017,store_1,cold drinks,9,20
11/3/2015,store_1,cold drinks,3,14
3/10/2017,store_1,cold drinks,10,17
10/4/2015,store_1,cold drinks,4,20
6/9/2016,store_1,cold drinks,9,22
1/12/2017,store_1,cold drinks,12,23
6/7/2016,store_1,tropical fruit,7,25
2/12/2017,store_1,tropical fruit,12,18
11/4/2015,store_1,tropical fruit,4,22
11/2/2015,store_1,tropical fruit,2,10
2/10/2017,store_1,tropical fruit,10,15
6/2/2016,store_1,tropical fruit,2,19
11/6/2015,store_1,tropical fruit,6,17
11/11/2015,store_1,tropical fruit,11,13
5/3/2016,store_1,tropical fruit,3,22
3/1/2017,store_1,tropical fruit,1,13
5/2/2016,store_1,tropical fruit,2,16
6/8/2016,store_1,tropical fruit,8,28
3/2/2017,store_1,tropical fruit,2,12
3/11/2017,store_1,tropical fruit,11,15
6/6/2016,store_1,tropical fruit,6,16
3/8/2017,store_1,tropical fruit,8,22
6/11/2016,store_1,tropical fruit,11,23
1/8/2017,store_1,tropical fruit,8,18
1/9/2017,store_1,tropical fruit,9,26
3/10/2017,store_1,tropical fruit,10,22
6/1/2016,store_1,tropical fruit,1,8
1/1/2017,store_1,tropical fruit,1,25
1/3/2017,store_1,rolls/buns,3,67
11/9/2015,store_1,rolls/buns,9,55
10/11/2015,store_1,rolls/buns,11,49
10/6/2015,store_1,rolls/buns,6,63
5/4/2016,store_1,rolls/buns,4,51
3/11/2017,store_1,rolls/buns,11,64
11/5/2015,store_1,rolls/buns,5,57
2/6/2017,store_1,rolls/buns,6,56
3/6/2017,store_1,rolls/buns,6,56
2/3/2017,store_1,rolls/buns,3,43
10/10/2015,store_1,rolls/buns,10,67
11/10/2015,store_1,rolls/buns,10,56
3/1/2017,store_1,rolls/buns,1,31
10/4/2015,store_1,rolls/buns,4,49
10/2/2015,store_1,rolls/buns,2,35
11/4/2015,store_1,rolls/buns,4,70
3/2/2017,store_1,rolls/buns,2,47
5/7/2016,store_1,rolls/buns,7,57
5/3/2016,store_1,pastry,3,54
1/2/2017,store_1,pastry,2,52
11/12/2015,store_1,pastry,12,44
1/3/2017,store_1,pastry,3,56
